mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source
1.84835E+13,1352803291,0,2236.013184,0,0,28.96596718,-13.5395565,0,gfw
1.84835E+13,1352781231,0,2236.013184,0,232.6999969,28.96594238,-13.53955841,0,gfw
1.84835E+13,1345534799,57704.73828,74328.52344,1,185.1000061,29.06264687,-12.87971687,1,gfw
1.84835E+13,1352890007,0,2236.013184,0,0,28.96595955,-13.53956032,0,gfw
1.84835E+13,1352956814,0,2236.013184,0,262.3999939,28.96591949,-13.53955841,0,gfw
1.84835E+13,1352636039,0,2236.013184,0,183.5,28.96599007,-13.53956985,0,gfw
1.84835E+13,1350438455,0,2236.013184,0,165.3999939,28.9659462,-13.53957653,0,gfw
1.84835E+13,1352544627,0,2236.013184,0,5.199999809,28.96596718,-13.53955364,0,gfw
1.84835E+13,1351171765,0,2236.013184,0,122.5,28.96596718,-13.53959465,0,gfw
1.84835E+13,1350624779,0,2236.013184,0,41.5,28.96591759,-13.53956318,0,gfw
1.84835E+13,1350997334,0,2236.013184,0,0,28.9659996,-13.53958035,0,gfw
1.84835E+13,1350522328,0,2236.013184,0,13.30000019,28.9659729,-13.53955841,0,gfw
1.84835E+13,1352838210,0,2236.013184,0,0,28.96603966,-13.53955364,0,gfw
1.84835E+13,1350533854,0,2236.013184,0,81.09999847,28.96593094,-13.53955173,0,gfw
1.84835E+13,1352982498,0,2236.013184,0,0,28.9659996,-13.53957462,0,gfw
1.84835E+13,1352778212,0,2236.013184,0,299.7000122,28.9659462,-13.53952503,0,gfw
1.84835E+13,1352727053,0,2236.013184,0.100000002,350.8999939,28.96599388,-13.5395813,0,gfw
1.84835E+13,1352762345,0,2236.013184,0,150.1000061,28.96598053,-13.53958702,0,gfw
1.84835E+13,1352143211,0,2236.013184,0,327.8999939,28.96599007,-13.53954792,0,gfw
1.84835E+13,1351762767,0,2236.013184,0.100000002,352.7999878,28.96592712,-13.53957844,0,gfw
1.84835E+13,1346740973,63125.30859,122797.6406,2.700000048,12.69999981,27.56167412,-14.54127502,0.75,gfw
1.84835E+13,1342946042,72275.46875,109833.5469,0.400000006,44,29.42765999,-12.70373631,1,gfw
1.84835E+13,1352569231,0,2236.013184,0,109.5999985,28.96599388,-13.53957367,0,gfw
1.84835E+13,1350440262,0,2236.013184,0,0,28.96595955,-13.53954506,0,gfw
1.84835E+13,1350627155,0,2236.013184,0,0,28.96593285,-13.53954506,0,gfw
1.84835E+13,1352767643,0,2236.013184,0,177.3999939,28.96593666,-13.5395546,0,gfw
1.84835E+13,1345027030,59007.02344,91703.80469,1.299999952,11.19999981,29.29130363,-12.80942535,1,gfw
1.84835E+13,1346557605,71845.29688,123564.7656,1.299999952,232.3000031,27.47502136,-14.44579697,1,gfw
1.84835E+13,1343010259,73550.89844,107821.2813,2.099999905,183.8000031,29.35049057,-12.68052673,1,gfw
1.84835E+13,1346688873,39445.19922,93533.78906,1.799999952,218.3999939,27.78553581,-14.67888641,1,gfw
1.84835E+13,1342826932,68591.32031,103443.1016,1.5,211.5,29.3530941,-12.72268677,1,gfw
1.84835E+13,1351549129,0,2236.013184,0,115.3000031,28.96596336,-13.53956318,0,gfw
1.84835E+13,1351896580,0,2236.013184,0,11.60000038,28.9659729,-13.53956127,0,gfw
1.84835E+13,1342618519,0,36999.09375,0.300000012,259.2999878,28.85638428,-13.84838009,1,gfw
1.84835E+13,1346717211,50693.92188,107333.2891,1.700000048,142,27.66640472,-14.62709713,0.75,gfw
1.84835E+13,1352549198,0,2236.013184,0,0,28.9659729,-13.53956699,0,gfw
1.84835E+13,1351942181,0,2236.013184,0,318,28.96596718,-13.5395565,0,gfw
1.84835E+13,1351532028,0,2236.013184,0,46.09999847,28.96602631,-13.53955364,0,gfw
1.84835E+13,1352974952,0,2236.013184,0,0,28.96595383,-13.53955841,0,gfw
1.84835E+13,1351947472,0,2236.013184,0,212,28.96598625,-13.53956985,0,gfw
1.84835E+13,1350910214,0,2236.013184,0,128,28.96598053,-13.53956795,0,gfw
1.84835E+13,1346792580,38469.82422,95291.94531,0.699999988,179.6000061,27.79498863,-14.6663599,0.4,gfw
1.84835E+13,1351811271,0,2236.013184,0,0,28.9659462,-13.53956318,0,gfw
1.84835E+13,1350590906,0,2236.013184,0,0,28.96600723,-13.53956509,0,gfw
1.84835E+13,1352645965,0,2236.013184,0,21.79999924,28.96595955,-13.53959656,0,gfw
1.84835E+13,1351676565,0,2236.013184,0,15.80000019,28.96593285,-13.53956699,0,gfw
1.84835E+13,1351721197,0,2236.013184,0,190.1000061,28.96596718,-13.53958988,0,gfw
1.84835E+13,1351212367,0,2236.013184,0,46.79999924,28.96595955,-13.53957367,0,gfw
1.84835E+13,1352410502,0,2236.013184,0,238,28.96597672,-13.53960514,0,gfw
1.84835E+13,1352908117,0,2236.013184,0,121,28.96593285,-13.53960514,0,gfw
1.84835E+13,1351133050,0,2236.013184,0,188.5,28.96595573,-13.53953171,0,gfw
1.84835E+13,1350847409,0,2236.013184,0,108.6999969,28.96601295,-13.53959847,0,gfw
1.84835E+13,1342804042,72799.3125,110938.7109,0.5,158.6000061,29.44308662,-12.71205521,1,gfw
1.84835E+13,1350904273,0,2236.013184,0,144.8000031,28.96592712,-13.53956699,0,gfw
1.84835E+13,1352362369,0,2236.013184,0,107,28.96594048,-13.53956795,0,gfw
1.84835E+13,1351879925,0,2236.013184,0,72.30000305,28.9659996,-13.53955364,0,gfw
1.84835E+13,1351387763,0,2236.013184,0,0,28.96593285,-13.53957844,0,gfw
1.84835E+13,1346542826,70453.92969,121244.7031,0.5,209.6999969,27.4868145,-14.4228735,1,gfw
1.84835E+13,1352582787,0,2236.013184,0,0,28.96598625,-13.53960133,0,gfw
1.84835E+13,1341743914,44552.24219,52008.33594,2.299999952,10.5,28.96243286,-13.06084156,1,gfw
1.84835E+13,1352019772,0,2236.013184,0,0,28.96592712,-13.53957367,0,gfw
1.84835E+13,1352300460,0,2236.013184,0,178.1999969,28.96598053,-13.53957367,0,gfw
1.84835E+13,1351499381,0,2236.013184,0,84.5,28.96592712,-13.53956795,0,gfw
1.84835E+13,1346670614,50693.92188,107333.2891,2.299999952,341.5,27.6715374,-14.62367153,1,gfw
1.84835E+13,1351280660,0,2236.013184,0,0,28.96602058,-13.5395813,0,gfw
1.84835E+13,1352877177,0,2236.013184,0,82.30000305,28.96589661,-13.53956985,0,gfw
1.84835E+13,1352097528,0,2236.013184,0,351.8999939,28.96591377,-13.53958988,0,gfw
1.84835E+13,1351968489,0,2236.013184,0,168.6999969,28.96601295,-13.53957462,0,gfw
1.84835E+13,1345244000,74998.15625,119550.4063,1.899999976,90.40000153,29.62856674,-12.79756165,1,gfw
1.84835E+13,1351100832,0,2236.013184,0,108.5,28.96603394,-13.53954506,0,gfw
1.84835E+13,1342287227,6402.967285,34175.17578,9.800000191,228.8999939,27.88881493,-15.31467152,1,gfw
1.84835E+13,1345356620,68445.38281,105149.6875,1.799999952,83.80000305,29.39019966,-12.72914696,1,gfw
1.84835E+13,1350197979,0,2236.013184,0,0,28.96591949,-13.53958035,0,gfw
1.84835E+13,1351529831,0,2236.013184,0,310.5,28.96599579,-13.53956032,0,gfw
1.84835E+13,1352825389,0,2236.013184,0,75,28.96599388,-13.53956699,0,gfw
